Countries;Population_2022;Population_2021;Growth_rate_%;Area;Density_km2
China;1,425,887,337;1,425,893,465;-0.00;9,706,961;147
India;1,417,173,173;1,407,563,842;0.68;3,287,590;431
United States;338,289,857;336,997,624;0.38;9,372,610;36
Indonesia;275,501,339;273,753,191;0.64;1,904,569;145
Pakistan;235,824,862;231,402,117;1.91;881,912;267
Nigeria;218,541,212;213,401,323;2.41;923,768;237
Brazil;215,313,498;214,326,223;0.46;8,515,767;25
Bangladesh;171,186,372;169,356,251;1.08;147,570;1,160
Russia;144,713,314;145,102,755;-0.27;17,098,242;8
Mexico;127,504,125;126,705,138;0.63;1,964,375;65
Japan;123,951,692;124,612,530;-0.53;377,930;328
Ethiopia;123,379,924;120,283,026;2.57;1,104,300;112
Philippines;115,559,009;113,880,328;1.47;342,353;338
Egypt;110,990,103;109,262,178;1.58;1,002,450;111
DR Congo;99,010,212;95,894,118;3.25;2,344,858;42
Vietnam;98,186,856;97,468,029;0.74;331,212;296
Iran;88,550,570;87,923,432;0.71;1,648,195;54
Turkey;85,341,241;84,775,404;0.67;783,562;109
Germany;83,369,843;83,408,554;-0.05;357,114;233
Thailand;71,697,030;71,601,103;0.13;513,120;140
United Kingdom;67,508,936;67,281,039;0.34;242,900;278
Tanzania;65,497,748;63,588,334;3.00;945,087;69
France;64,626,628;64,531,444;0.15;551,695;117
South Africa;59,893,885;59,392,255;0.84;1,221,037;49
Italy;59,037,474;59,240,329;-0.34;301,336;196
England;57,367,811;;0.72;130,279;440
Myanmar;54,179,306;53,798,084;0.71;676,578;80
Kenya;54,027,487;53,005,614;1.93;580,367;93
Colombia;51,874,024;51,516,562;0.69;1,141,748;45
South Korea;51,815,810;51,830,139;-0.03;100,210;517
Spain;47,558,630;47,486,935;0.15;505,992;94
Uganda;47,249,585;45,853,778;3.04;241,550;196
Sudan;46,874,204;45,657,202;2.67;1,886,068;25
Argentina;45,510,318;45,276,780;0.52;2,780,400;16
Algeria;44,903,225;44,177,969;1.64;2,381,741;19
Iraq;44,496,122;43,533,592;2.21;438,317;102
Afghanistan;41,128,771;40,099,462;2.57;652,230;63
Poland;39,857,145;38,307,726;4.04;312,679;127
Ukraine;39,701,739;43,531,422;-8.80;603,500;66
Canada;38,454,327;38,155,012;0.78;9,984,670;4
Morocco;37,457,971;37,076,584;1.03;446,550;84
Saudi Arabia;36,408,820;35,950,396;1.28;2,149,690;17
Angola;35,588,987;34,503,774;3.15;1,246,700;29
Uzbekistan;34,627,652;34,081,449;1.60;447,400;77
Peru;34,049,588;33,715,471;0.99;1,285,216;26
Malaysia;33,938,221;33,573,874;1.09;330,803;103
Yemen;33,696,614;32,981,641;2.17;527,968;64
Ghana;33,475,870;32,833,031;1.96;238,533;140
Mozambique;32,969,518;32,077,072;2.78;801,590;41
Nepal;30,547,580;30,034,989;1.71;147,181;208
Madagascar;29,611,714;28,915,653;2.41;587,041;50
Venezuela;28,301,696;28,199,867;0.36;916,445;31
Ivory Coast;28,160,542;27,478,249;2.48;322,463;87
Cameroon;27,914,536;27,198,628;2.63;475,442;59
Niger;26,207,977;25,252,722;3.78;1,267,000;21
Australia;26,177,413;25,921,089;0.99;7,692,024;3
North Korea;26,069,416;25,971,909;0.38;120,538;216
Taiwan;23,893,394;23,859,912;0.14;36,193;660
Burkina Faso;22,673,762;22,100,683;2.59;272,967;83
Mali;22,593,590;21,904,983;3.14;1,240,192;18
Syria;22,125,249;21,324,367;3.76;185,180;119
Sri Lanka;21,832,143;21,773,441;0.27;65,610;333
Malawi;20,405,317;19,889,742;2.59;118,484;172
Zambia;20,017,675;19,473,125;2.80;752,612;27
Romania;19,659,267;19,328,560;1.71;238,391;82
Chile;19,603,733;19,493,184;0.57;756,102;26
Kazakhstan;19,397,998;19,196,465;1.05;2,724,900;7
Ecuador;18,001,000;17,797,737;1.14;276,841;65
Guatemala;17,843,908;17,608,483;1.34;108,889;164
Chad;17,723,315;17,179,740;3.16;1,284,000;14
Somalia;17,597,511;17,065,581;3.12;637,657;28
Netherlands;17,564,014;17,501,696;0.36;41,850;420
Senegal;17,316,449;16,876,720;2.61;196,722;88
Cambodia;16,767,842;16,589,023;1.08;181,035;93
Zimbabwe;16,320,537;15,993,524;2.04;390,757;42
Guinea;13,859,341;13,531,906;2.42;245,857;56
Rwanda;13,776,698;13,461,888;2.34;26,338;523
Benin;13,352,864;12,996,895;2.74;112,622;119
Burundi;12,889,576;12,551,213;2.70;27,834;463
Tunisia;12,356,117;12,262,946;0.76;163,610;76
Bolivia;12,224,110;12,079,472;1.20;1,098,581;11
Belgium;11,655,930;11,611,419;0.38;30,528;382
Haiti;11,584,996;11,447,569;1.20;27,750;417
Jordan;11,285,869;11,148,278;1.23;89,342;126
Dominican Republic;11,228,821;11,117,873;1.00;48,671;231
Cuba;11,212,191;11,256,372;-0.39;109,884;102
South Sudan;10,913,164;10,748,272;1.53;619,745;18
Sweden;10,549,347;10,467,097;0.79;450,295;23
Czech Republic;10,493,986;10,510,751;-0.16;78,865;133
Honduras;10,432,860;10,278,345;1.50;112,492;93
Greece;10,384,971;10,445,365;-0.58;131,990;79
Azerbaijan;10,358,074;10,312,992;0.44;86,600;120
Portugal;10,270,865;10,290,103;-0.19;92,090;112
Papua New Guinea;10,142,619;9,949,437;1.94;462,840;22
Hungary;9,967,308;9,709,786;2.65;93,028;107
Tajikistan;9,952,787;9,750,064;2.08;143,100;70
Belarus;9,534,954;9,578,167;-0.45;207,600;46
United Arab Emirates;9,441,129;9,365,145;0.81;83,600;113
Israel;9,038,309;8,900,059;1.55;20,770;435
Austria;8,939,617;8,922,082;0.20;83,871;107
Togo;8,848,699;8,644,829;2.36;56,785;156
Switzerland;8,740,472;8,691,406;0.56;41,284;212
Sierra Leone;8,605,718;8,420,641;2.20;71,740;120
Laos;7,529,475;7,425,057;1.41;236,800;32
Hong Kong;7,488,865;7,494,578;-0.08;1,104;6,783
Serbia;7,221,365;7,296,769;-1.03;88,361;82
Nicaragua;6,948,392;6,850,540;1.43;130,373;53
Libya;6,812,341;6,735,277;1.14;1,759,540;4
Bulgaria;6,781,953;6,885,868;-1.51;110,879;61
Paraguay;6,780,744;6,703,799;1.15;406,752;17
Kyrgyzstan;6,630,623;6,527,743;1.58;199,951;33
Turkmenistan;6,430,770;6,341,855;1.40;488,100;13
El Salvador;6,336,392;6,314,167;0.35;21,041;301
Singapore;5,975,689;5,941,060;0.58;710;8,416
Republic of the Congo;5,970,424;5,835,806;2.31;342,000;17
Denmark;5,882,261;5,854,240;0.48;43,094;136
Slovakia;5,643,453;5,447,622;3.59;49,037;115
Central African Republic;5,579,144;5,457,154;2.24;622,984;9
Finland;5,540,745;5,535,992;0.09;338,424;16
Scotland;5,504,651;;0.35;77,933;71
Lebanon;5,489,739;5,592,631;-1.84;10,452;525
Norway;5,434,319;5,403,021;0.58;323,802;17
Liberia;5,302,681;5,193,416;2.10;111,369;48
Palestine;5,250,072;5,133,392;2.27;6,220;844
New Zealand;5,185,288;5,129,727;1.08;270,467;19
Costa Rica;5,180,829;5,153,957;0.52;51,100;101
Ireland;5,023,109;4,986,526;0.73;70,273;71
Mauritania;4,736,139;4,614,974;2.63;1,030,700;5
Oman;4,576,298;4,520,471;1.23;309,500;15
Panama;4,408,581;4,351,267;1.32;75,417;58
Kuwait;4,268,873;4,250,114;0.44;17,818;240
Croatia;4,030,358;4,060,135;-0.73;56,594;71
Georgia;3,744,385;3,757,980;-0.36;69,700;54
Eritrea;3,684,032;3,620,312;1.76;117,600;31
Uruguay;3,422,794;3,426,260;-0.10;181,034;19
Mongolia;3,398,366;3,347,782;1.51;1,564,110;2
Moldova;3,272,996;3,061,506;6.91;33,846;97
Puerto Rico;3,252,407;3,256,028;-0.11;8,870;367
Bosnia And Herzegovina;3,233,526;3,270,943;-1.14;51,209;63
Wales;3,193,665;;0.38;20,779;154
Albania;2,842,321;2,854,710;-0.43;28,748;99
Jamaica;2,827,377;2,827,695;-0.01;10,991;257
Armenia;2,780,469;2,790,974;-0.38;29,743;93
Lithuania;2,750,055;2,786,651;-1.31;65,300;42
Gambia;2,705,992;2,639,916;2.50;10,689;253
Qatar;2,695,122;2,688,235;0.26;11,586;233
Botswana;2,630,296;2,588,423;1.62;582,000;5
Namibia;2,567,012;2,530,151;1.46;825,615;3
Gabon;2,388,992;2,341,179;2.04;267,668;9
Lesotho;2,305,825;2,281,454;1.07;30,355;76
Slovenia;2,119,844;2,119,410;0.02;20,273;105
Guinea Bissau;2,105,566;2,060,721;2.18;36,125;58
North Macedonia;2,093,599;2,103,330;-0.46;25,713;81
Latvia;1,850,651;1,873,919;-1.24;64,559;29
Kosovo;1,802,250;;0.11;10,887;166
Equatorial Guinea;1,674,908;1,634,466;2.47;28,051;60
Trinidad And Tobago;1,531,044;1,525,663;0.35;5,130;298
Bahrain;1,472,233;1,463,265;0.61;765;1,924
Timor Leste;1,341,296;1,320,942;1.54;14,874;90
Estonia;1,326,062;1,328,701;-0.20;45,227;29
Mauritius;1,299,469;1,298,915;0.04;2,040;637
Cyprus;1,251,488;1,244,188;0.59;9,251;135
Eswatini;1,201,670;1,192,271;0.79;17,364;69
Djibouti;1,120,849;1,105,557;1.38;23,200;48
Reunion;974,052;966,129;0.82;2,511;388
Fiji;929,766;924,610;0.56;18,272;51
Comoros;836,774;821,625;1.84;1,862;449
Guyana;808,726;804,567;0.52;214,969;4
Bhutan;782,455;777,486;0.64;38,394;20
Solomon Islands;724,273;707,851;2.32;28,896;25
Luxembourg;647,599;639,321;1.29;2,586;250
Montenegro;627,082;627,859;-0.12;13,812;45
Suriname;618,040;612,985;0.82;163,820;4
Cape Verde;593,149;587,925;0.89;4,033;147
Western Sahara;575,986;565,581;1.84;266,000;2
Malta;533,286;526,748;1.24;316;1,688
Maldives;523,787;521,457;0.45;300;1,746
Brunei;449,002;445,373;0.81;5,765;78
Bahamas;409,984;407,906;0.51;13,943;29
Belize;405,272;400,031;1.31;22,966;18
Guadeloupe;395,752;396,051;-0.08;1,628;243
Iceland;372,899;370,335;0.69;103,000;4
Martinique;367,507;368,796;-0.35;1,128;326
Vanuatu;326,740;319,137;2.38;12,189;27
Mayotte;326,101;316,014;3.19;374;872
French Guiana;304,557;297,449;2.39;83,534;4
Barbados;281,635;281,200;0.15;430;655
Sao Tome And Principe;227,380;223,107;1.92;964;236
Samoa;222,382;218,764;1.65;2,842;78
Saint Lucia;179,857;179,651;0.11;616;292
Kiribati;131,232;128,874;1.83;811;162
Grenada;125,438;124,610;0.66;344;365
Micronesia;114,164;113,131;0.91;702;163
Seychelles;107,118;106,471;0.61;452;237
Tonga;106,858;106,017;0.79;747;143
Saint Vincent And the Grenadines;103,948;104,332;-0.37;389;267
Antigua And Barbuda;93,763;93,219;0.58;442;212
Andorra;79,824;79,034;1.00;468;171
Dominica;72,737;72,412;0.45;751;97
Greenland;56,466;56,243;0.40;2,166,086;0
Saint Kitts And Nevis;47,657;47,606;0.11;261;183
Marshall Islands;41,569;42,050;-1.14;181;230
Liechtenstein;39,327;39,039;0.74;160;246
Monaco;36,469;36,686;-0.59;2;18,235
San Marino;33,660;33,745;-0.25;61;552
Palau;18,055;18,024;0.17;459;39
Nauru;12,668;12,511;1.25;21;603
Tuvalu;11,312;11,204;0.96;26;435
Vatican City;510;511;-0.20;1;510
